DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2022,43860,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2023,44230,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2024,44460,p,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2000,4160,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2001,4460,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2002,4750,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2003,5020,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2004,5380,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2005,5790,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2006,6220,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2007,6670,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2008,7110,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2009,6910,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2010,7060,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2011,7390,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2012,7530,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2013,7600,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2014,7770,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2015,8130,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2016,8490,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2017,8840,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2018,9170,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2019,9650,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2020,9440,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2021,10250,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2022,10740,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2023,10950,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Bulgaria,2024,11330,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2000,66030,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2001,66750,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2002,66530,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2003,65860,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2004,67120,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2005,68690,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2006,71090,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2007,73260,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2008,74230,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2009,71980,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2010,73760,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2011,74140,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2012,74160,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2013,74650,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2014,75620,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2015,75780,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2016,76410,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2017,76770,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2018,78760,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2019,79070,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2020,76710,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2021,80850,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2022,83000,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2023,82440,p,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Switzerland,2024,82650,p,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2000,20500,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2001,21080,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2002,21610,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2003,21910,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2004,22710,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2005,23470,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2006,24170,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2007,24870,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2008,25140,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2009,23980,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2010,23890,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2011,23390,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2012,22280,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2013,20830,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2014,20490,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2015,21140,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2016,22410,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2017,23500,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2018,24690,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2019,25790,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2020,24630,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2021,27030,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2022,28730,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2023,29200,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Cyprus,2024,29870,p,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2000,13410,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2001,13860,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2002,14110,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2003,14570,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2004,15250,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2005,16180,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2006,17200,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2007,18050,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2008,18330,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2009,17350,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2010,17770,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2011,18120,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2012,17970,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2013,17970,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2014,18370,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2015,19270,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2016,19760,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2017,20760,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2018,21320,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2019,22050,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2020,20980,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2021,21830,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2022,21910,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2023,21680,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Czechia,2024,21910,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Germany,2000,34690,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Germany,2001,35240,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Germany,2002,35130,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Germany,2003,34960,,
